# pairs.txt — cum pair-mode (MODE 2 ONLY, Chu chot 2026-09-15).
# Dong bat dau bang # la comment. Dinh dang 1 dong:
#   0xTokenAddress # SYMBOL | vetted YYYY-MM-DD | tax b/s | owner ... | note
# Bot CHI doc "vetted YYYY-MM-DD". Thieu ngay -> CHUA VET -> khong sim.
# Bot van tu do lai tax bang revm (pairs_vet_task, moi 600s) va loai dong nao
# tax>0/honeypot (log pair.vet_fail) - day la luoi an toan, KHONG thay vet tay.
#
# NHOM A - dien "vetted" san: token lon, Binance-Peg hoac du an lau nam, khong
# tax/honeypot/cooldown theo hieu biet cong khai. Chu van nen mo DexScreener
# xem volume pool V2 truoc khi len live (nhieu token lon volume nam o V3).
# NHOM B - de trong "vetted": GoPlus REVIEW hoac token meme/four.meme (duoi
# 4444) - Chu tu doc source BscScan roi dien.
# NHOM C - da XOA khoi file: GoPlus FAIL (pausable/cooldown/take-back-owner)
# hoac token co reflection/tax lich su. Ghi lai o cuoi file de doi chieu.
#
# ===== NHOM A: dien san vetted 2026-09-16 =====
#
# ===== NHOM B: CHUA VET - Chu doc source BscScan (GoPlus REVIEW hoac meme) =====
#
# ===== NHOM C: DA XOA (khong phai dong du lieu, chi ghi nho) =====
# 0x924fa68a0FC644485b8df8AbfA0A41C2e7744444  币安人生   GoPlus FAIL transfer_pausable
# 0x08ba0619b1e7A582E0BCe5BBE9843322C954C340  BMON       GoPlus FAIL trading_cooldown (anti-MEV)
# 0x5Ac52EE5b2a633895292Ff6d8A89bB9190451587  BSCX       GoPlus FAIL can_take_back_ownership, hidden_owner
# 0xc748673057861a797275CD8A068AbB95A902e8de  BabyDoge   tax/anti_whale (reflection)
# 0xdB8D30b74bf098aF214e862C90E647bbB1fcC58c  BABYCAKE   reflection token, tax
# 0x0DF0587216a4a1bB7d5082fdc491d93d2dD4B413  Cheems     tung co tax, owner active
# 0x32B407ee915432Be6D3F168bc1EfF2a6F8b2034C  HODL       reflection token, tax
# (17 dong FAIL con lai trong bang vet_goplus.sh cua Code: Chu doi chieu
#  state/pairs_goplus.tsv va xoa them neu thuoc nhom B o tren)0xeCCBb861c0dda7eFd964010085488B69317e4444 # 龙虾 | vetted 2026-09-16 | tax 0/0 | owner renounced | swaps24h=28262 ge_min=11927 vol_bnb=11390 reserve=2436bnb contract=Token
0x55d398326f99059fF775485246999027B3197955 # USDT | vetted 2026-09-16 | tax 0/0 | owner active | reserve_wbnb~=52619 BNB, quote asset
0x0E09FaBB73Bd3Ade0a17ECC321fD13a19e81cE82 # CAKE | vetted 2026-09-16 | tax 0/0 | owner active | reserve_wbnb~=14002 BNB, volume phan lon o V3
0xe9e7CEA3DedcA5984780Bafc599bD69ADd087D56 # BUSD | vetted 2026-09-16 | tax 0/0 | owner active | reserve_wbnb~=6245 BNB, BUSD dang bi thu hoi - volume thap, can nhac bo
0x2170Ed0880ac9A755fd29B2688956BD959F933F8 # ETH | vetted 2026-09-16 | tax 0/0 | owner active | reserve_wbnb~=2190 BNB, volume phan lon o V3
0x7130d2A12B9BCbFAe4f2634d864A1Ee1Ce3Ead9c # BTCB | vetted 2026-09-16 | tax 0/0 | owner active | reserve_wbnb~=2162 BNB, volume phan lon o V3
0x8AC76a51cc950d9822D68b83fE1Ad97B32Cd580d # USDC | vetted 2026-09-16 | tax 0/0 | owner active | reserve_wbnb~=294 BNB
0xbA2aE424d960c26247Dd6c32edC70B295c744C43 # DOGE | vetted 2026-09-16 | tax 0/0 | owner active | reserve_wbnb~=638 BNB
0x1D2F0da169ceB9fC7B3144628dB156f3F6c60dBE # XRP | vetted 2026-09-16 | tax 0/0 | owner active | reserve_wbnb~=535 BNB
0xF8A0BF9cF54Bb92F17374d9e9A321E6a111a51bD # LINK | vetted 2026-09-16 | tax 0/0 | owner active | reserve_wbnb~=366 BNB
0x3EE2200Efb3400fAbB9AacF31297cBdD1d435D47 # ADA | vetted 2026-09-16 | tax 0/0 | owner active | reserve_wbnb~=343 BNB
0x4B0F1812e5Df2A09796481Ff14017e6005508003 # TWT | vetted 2026-09-16 | tax 0/0 | owner active | reserve_wbnb~=246 BNB
0x85EAC5Ac2F758618dFa09bDbe0cf174e7d574D5B # TRX | vetted 2026-09-16 | tax 0/0 | owner active | reserve_wbnb~=241 BNB
0xBf5140A22578168FD562DCcF235E5D43A02ce9B1 # UNI | vetted 2026-09-16 | tax 0/0 | owner active | reserve_wbnb~=241 BNB
0x7083609fCE4d1d8Dc0C979AAb8c869Ea2C873402 # DOT | vetted 2026-09-16 | tax 0/0 | owner active | reserve_wbnb~=162 BNB
0x1CE0c2827e2eF14D5C4f29a091d735A204794041 # AVAX | vetted 2026-09-16 | tax 0/0 | owner active | reserve_wbnb~=125 BNB
0x1Fa4a73a3F0133f0025378af00236f3aBDEE5D63 # NEAR | vetted 2026-09-16 | tax 0/0 | owner active | reserve_wbnb~=87 BNB
0x4338665CBB7B2485A8855A139b75D5e34AB0DB94 # LTC | vetted 2026-09-16 | tax 0/0 | owner active | reserve_wbnb~=54 BNB
0x2859e4544C4bB03966803b044A93563Bd2D0DD4D # SHIB | vetted 2026-09-16 | tax 0/0 | owner active | reserve_wbnb~=39 BNB
0xa2B726B1145A4773F68593CF171187d8EBe4d495 # INJ | vetted 2026-09-16 | tax 0/0 | owner active | reserve_wbnb~=135 BNB
0xD41FDb03Ba84762dD66a0af1a6C8540FF1ba5dfb # SFP | vetted 2026-09-16 | tax 0/0 | owner none | reserve_wbnb~=199 BNB
0xaEC945e04baF28b135Fa7c640f624f8D90F1C3a6 # C98 | vetted 2026-09-16 | tax 0/0 | owner active | reserve_wbnb~=192 BNB
0xcF6BB5389c92Bdda8a3747Ddb454cB7a64626C63 # XVS | vetted 2026-09-16 | tax 0/0 | owner active | reserve_wbnb~=77 BNB
0x3203c9E46cA618C8C1cE5dC67e7e9D75f5da2377 # MBOX | vetted 2026-09-16 | tax 0/0 | owner active | reserve_wbnb~=153 BNB
0xAC51066d7bEC65Dc4589368da368b212745d63E8 # ALICE | vetted 2026-09-16 | tax 0/0 | owner active | reserve_wbnb~=35 BNB
0x78F5d389F5CDCcFc41594aBaB4B0Ed02F31398b3 # APX | vetted 2026-09-16 | tax 0/0 | owner renounced | reserve_wbnb~=35 BNB
0x9f589e3eabe42ebC94A44727b3f3531C0c877809 # TKO | vetted 2026-09-16 | tax 0/0 | owner active | reserve_wbnb~=48 BNB
0xA8c2B8eec3d368C0253ad3dae65a5F2BBB89c929 # CTK | vetted 2026-09-16 | tax 0/0 | owner active | reserve_wbnb~=48 BNB
0xA7f552078dcC247C2684336020c03648500C6d9F # EPS | vetted 2026-09-16 | tax 0/0 | owner none | reserve_wbnb~=57 BNB, du an cu - kiem volume
0x43a8cab15D06d3a5fE5854D714C37E7E9246F170 # ORBS | vetted 2026-09-16 | tax 0/0 | owner active | reserve_wbnb~=105 BNB
0x23CE9e926048273eF83be0A3A8Ba9Cb6D45cd978 # DAR | vetted 2026-09-16 | tax 0/0 | owner active | reserve_wbnb~=164 BNB
0xECa41281c24451168a37211F0bc2b8645AF45092 # TPT | vetted 2026-09-16 | tax 0/0 | owner none | reserve_wbnb~=267 BNB
0xE0e514c71282b6f4e823703a39374Cf58dc3eA4f # BELT | vetted 2026-09-16 | tax 0/0 | owner active | reserve_wbnb~=162 BNB, du an cu - kiem volume
0x12BB890508c125661E03b09EC06E404bc9289040 # RACA | vetted 2026-09-16 | tax 0/0 | owner active | reserve_wbnb~=33 BNB
0x1633b7157e7638C4d6593436111Bf125Ee74703F # SPS | vetted 2026-09-16 | tax 0/0 | owner none | reserve_wbnb~=35 BNB
0xB2BD0749DBE21f623d9BABa856D3B0f0e1BFEc9C # DUSK | vetted 2026-09-16 | tax 0/0 | owner active | reserve_wbnb~=41 BNB
0x05aD6E30A855BE07AfA57e08a4f30d00810a402e # TINC | vetted 2026-09-16 | tax 0/0 | owner renounced | reserve_wbnb~=40 BNB
0xe6DF05CE8C8301223373CF5B969AFCb1498c5528 # KOGE | vetted 2026-09-16 | tax 0/0 | owner none | reserve_wbnb~=51 BNB
